Project,Bug,TestSuite,ScoringScheme,Family,Formula,TotalDefn,KillDefn,HybridScheme,AggregationDefn,Score,ScoreWRTLoadedClasses
Chart,4,developer,first,mbfl,muse,elements,passfail,none,avg,0.267098738673969,0.54037346794721
Chart,4,developer,first,mbfl,ochiai,tests,exact,none,max,0.000592072571180868,0.00119783534042053
Chart,4,developer,first,sbfl,barinel,tests,,none,,0.0079189706395441,0.0160210476781245
Chart,4,developer,first,sbfl,opt2,tests,,none,,0.000169163591765962,0.000342238668691579
Chart,4,developer,first,sbfl,tarantula,tests,,none,,0.0079189706395441,0.0160210476781245
Chart,4,developer,first,sbfl,jaccard,tests,,none,,0.00191366313185245,0.00387157493957349
Chart,4,developer,first,sbfl,ochiai,tests,,none,,0.00182908133596947,0.0037004556052277
Chart,4,developer,first,sbfl,dstar2,tests,,none,,0.00176564498905723,0.00357211610446835
Chart,4,developer,last,hybrid,barinel,elements,type+message+location,mirror,avg,0.00682998001755072,0.0138178862484225
Chart,4,developer,median,hybrid,barinel,elements,type+message+location,mirror,avg,0.00682998001755072,0.0138178862484225
Chart,4,developer,mean,hybrid,barinel,elements,type+message+location,mirror,avg,0.00682998001755072,0.0138178862484225
Chart,4,developer,first,hybrid,barinel,elements,type+message+location,mirror,avg,0.00682998001755072,0.0138178862484225
Chart,4,developer,last,hybrid,barinel,elements,type+message+location,mirror,max,0.00689341636446296,0.0139462257491818
Chart,4,developer,median,hybrid,barinel,elements,type+message+location,mirror,max,0.00689341636446296,0.0139462257491818
Chart,4,developer,mean,hybrid,barinel,elements,type+message+location,mirror,max,0.00689341636446296,0.0139462257491818
Chart,4,developer,first,hybrid,barinel,elements,type+message+location,mirror,max,0.00689341636446296,0.0139462257491818
Chart,4,developer,last,hybrid,barinel,elements,type+message+location,constant,avg,0.0123172240254591,0.0249192530641056
Chart,4,developer,median,hybrid,barinel,elements,type+message+location,constant,avg,0.0123172240254591,0.0249192530641056
Chart,4,developer,mean,hybrid,barinel,elements,type+message+location,constant,avg,0.0123172240254591,0.0249192530641056
Chart,4,developer,first,hybrid,barinel,elements,type+message+location,constant,avg,0.0123172240254591,0.0249192530641056
Chart,4,developer,last,hybrid,barinel,elements,type+message+location,constant,max,0.0124969603417105,0.0252828816495904
Chart,4,developer,median,hybrid,barinel,elements,type+message+location,constant,max,0.0124969603417105,0.0252828816495904
Chart,4,developer,mean,hybrid,barinel,elements,type+message+location,constant,max,0.0124969603417105,0.0252828816495904
Chart,4,developer,first,hybrid,barinel,elements,type+message+location,constant,max,0.0124969603417105,0.0252828816495904
Chart,4,developer,last,mbfl,barinel,elements,type+message+location,none,avg,0.136805768478479,0.276774828345918
Chart,4,developer,median,mbfl,barinel,elements,type+message+location,none,avg,0.136805768478479,0.276774828345918
Chart,4,developer,mean,mbfl,barinel,elements,type+message+location,none,avg,0.136805768478479,0.276774828345918
Chart,4,developer,first,mbfl,barinel,elements,type+message+location,none,avg,0.136805768478479,0.276774828345918
Chart,4,developer,last,mbfl,barinel,elements,type+message+location,none,max,0.136805768478479,0.276774828345918
Chart,4,developer,median,mbfl,barinel,elements,type+message+location,none,max,0.136805768478479,0.276774828345918
Chart,4,developer,mean,mbfl,barinel,elements,type+message+location,none,max,0.136805768478479,0.276774828345918
Chart,4,developer,first,mbfl,barinel,elements,type+message+location,none,max,0.136805768478479,0.276774828345918
Chart,4,developer,last,hybrid,barinel,elements,type+message+location,numerator,avg,0.136805768478479,0.276774828345918
Chart,4,developer,median,hybrid,barinel,elements,type+message+location,numerator,avg,0.136805768478479,0.276774828345918
Chart,4,developer,mean,hybrid,barinel,elements,type+message+location,numerator,avg,0.136805768478479,0.276774828345918
