Project,Bug,TestSuite,ScoringScheme,Family,Formula,TotalDefn,KillDefn,HybridScheme,AggregationDefn,Score,ScoreWRTLoadedClasses
Lang,4,developer,first,mbfl,muse,elements,passfail,none,avg,0.00119898547382984,0.226086956521739
Lang,4,developer,first,mbfl,ochiai,tests,exact,none,max,0.000276688955499193,0.0521739130434783
Lang,4,developer,first,sbfl,barinel,tests,,none,,0.00011528706479133,0.0217391304347826
Lang,4,developer,first,sbfl,opt2,tests,,none,,0.00011528706479133,0.0217391304347826
Lang,4,developer,first,sbfl,tarantula,tests,,none,,0.00011528706479133,0.0217391304347826
Lang,4,developer,first,sbfl,jaccard,tests,,none,,0.00011528706479133,0.0217391304347826
Lang,4,developer,first,sbfl,ochiai,tests,,none,,0.00011528706479133,0.0217391304347826
Lang,4,developer,first,sbfl,dstar2,tests,,none,,0.00011528706479133,0.0217391304347826
Lang,4,developer,last,hybrid,barinel,elements,type+message+location,mirror,avg,0.00382753055107217,0.721739130434783
Lang,4,developer,median,hybrid,barinel,elements,type+message+location,mirror,avg,0.000345861194373991,0.0652173913043478
Lang,4,developer,mean,hybrid,barinel,elements,type+message+location,mirror,avg,0.00116439935439244,0.219565217391304
Lang,4,developer,first,hybrid,barinel,elements,type+message+location,mirror,avg,0.000138344477749596,0.0260869565217391
Lang,4,developer,last,hybrid,barinel,elements,type+message+location,mirror,max,0.00382753055107217,0.721739130434783
Lang,4,developer,median,hybrid,barinel,elements,type+message+location,mirror,max,0.000322803781415725,0.0608695652173913
Lang,4,developer,mean,hybrid,barinel,elements,type+message+location,mirror,max,0.0011874567673507,0.223913043478261
Lang,4,developer,first,hybrid,barinel,elements,type+message+location,mirror,max,0.000276688955499193,0.0521739130434783
Lang,4,developer,last,hybrid,barinel,elements,type+message+location,constant,avg,0.00382753055107217,0.721739130434783
Lang,4,developer,median,hybrid,barinel,elements,type+message+location,constant,avg,0.000426562139727923,0.0804347826086956
Lang,4,developer,mean,hybrid,barinel,elements,type+message+location,constant,avg,0.0012047498270694,0.227173913043478
Lang,4,developer,first,hybrid,barinel,elements,type+message+location,constant,avg,0.000138344477749596,0.0260869565217391
Lang,4,developer,last,hybrid,barinel,elements,type+message+location,constant,max,0.00382753055107217,0.721739130434783
Lang,4,developer,median,hybrid,barinel,elements,type+message+location,constant,max,0.000449619552686189,0.0847826086956522
Lang,4,developer,mean,hybrid,barinel,elements,type+message+location,constant,max,0.00125086465298594,0.235869565217391
Lang,4,developer,first,hybrid,barinel,elements,type+message+location,constant,max,0.000276688955499193,0.0521739130434783
Lang,4,developer,last,mbfl,barinel,elements,type+message+location,none,avg,0.00382753055107217,0.721739130434783
Lang,4,developer,median,mbfl,barinel,elements,type+message+location,none,avg,0.00079548074706018,0.15
Lang,4,developer,mean,mbfl,barinel,elements,type+message+location,none,avg,0.00138920913073553,0.26195652173913
Lang,4,developer,first,mbfl,barinel,elements,type+message+location,none,avg,0.000138344477749596,0.0260869565217391
Lang,4,developer,last,mbfl,barinel,elements,type+message+location,none,max,0.00382753055107217,0.721739130434783
Lang,4,developer,median,mbfl,barinel,elements,type+message+location,none,max,0.000818538160018446,0.154347826086957
Lang,4,developer,mean,mbfl,barinel,elements,type+message+location,none,max,0.00143532395665206,0.270652173913043
Lang,4,developer,first,mbfl,barinel,elements,type+message+location,none,max,0.000276688955499193,0.0521739130434783
Lang,4,developer,last,hybrid,barinel,elements,type+message+location,numerator,avg,0.00382753055107217,0.721739130434783
Lang,4,developer,median,hybrid,barinel,elements,type+message+location,numerator,avg,0.00079548074706018,0.15
Lang,4,developer,mean,hybrid,barinel,elements,type+message+location,numerator,avg,0.00138920913073553,0.26195652173913
Lang,4,developer,first,hybrid,barinel,elements,type+message+location,numerator,avg,0.000138344477749596,0.0260869565217391
Lang,4,developer,last,hybrid,barinel,elements,type+message+location,numerator,max,0.00382753055107217,0.721739130434783
Lang,4,developer,median,hybrid,barinel,elements,type+message+location,numerator,max,0.000818538160018446,0.154347826086957
Lang,4,developer,mean,hybrid,barinel,elements,type+message+location,numerator,max,0.00143532395665206,0.270652173913043
Lang,4,developer,first,hybrid,barinel,elements,type+message+location,numerator,max,0.000276688955499193,0.0521739130434783
Lang,4,developer,last,hybrid,barinel,tests,type+message+location,mirror,avg,0.00382753055107217,0.721739130434783
Lang,4,developer,median,hybrid,barinel,tests,type+message+location,mirror,avg,0.000345861194373991,0.0652173913043478
Lang,4,developer,mean,hybrid,barinel,tests,type+message+location,mirror,avg,0.00116439935439244,0.219565217391304
Lang,4,developer,first,hybrid,barinel,tests,type+message+location,mirror,avg,0.000138344477749596,0.0260869565217391
Lang,4,developer,last,hybrid,barinel,tests,type+message+location,mirror,max,0.00382753055107217,0.721739130434783
Lang,4,developer,median,hybrid,barinel,tests,type+message+location,mirror,max,0.000322803781415725,0.0608695652173913
Lang,4,developer,mean,hybrid,barinel,tests,type+message+location,mirror,max,0.0011874567673507,0.223913043478261
Lang,4,developer,first,hybrid,barinel,tests,type+message+location,mirror,max,0.000276688955499193,0.0521739130434783
Lang,4,developer,last,hybrid,barinel,tests,type+message+location,constant,avg,0.00382753055107217,0.721739130434783
Lang,4,developer,median,hybrid,barinel,tests,type+message+location,constant,avg,0.000426562139727923,0.0804347826086956
Lang,4,developer,mean,hybrid,barinel,tests,type+message+location,constant,avg,0.0012047498270694,0.227173913043478
Lang,4,developer,first,hybrid,barinel,tests,type+message+location,constant,avg,0.000138344477749596,0.0260869565217391
Lang,4,developer,last,hybrid,barinel,tests,type+message+location,constant,max,0.00382753055107217,0.721739130434783
Lang,4,developer,median,hybrid,barinel,tests,type+message+location,constant,max,0.000449619552686189,0.0847826086956522
Lang,4,developer,mean,hybrid,barinel,tests,type+message+location,constant,max,0.00125086465298594,0.235869565217391
Lang,4,developer,first,hybrid,barinel,tests,type+message+location,constant,max,0.000276688955499193,0.0521739130434783
Lang,4,developer,last,mbfl,barinel,tests,type+message+location,none,avg,0.00382753055107217,0.721739130434783
Lang,4,developer,median,mbfl,barinel,tests,type+message+location,none,avg,0.00079548074706018,0.15
Lang,4,developer,mean,mbfl,barinel,tests,type+message+location,none,avg,0.00138920913073553,0.26195652173913
Lang,4,developer,first,mbfl,barinel,tests,type+message+location,none,avg,0.000138344477749596,0.0260869565217391
Lang,4,developer,last,mbfl,barinel,tests,type+message+location,none,max,0.00382753055107217,0.721739130434783
Lang,4,developer,median,mbfl,barinel,tests,type+message+location,none,max,0.000818538160018446,0.154347826086957
Lang,4,developer,mean,mbfl,barinel,tests,type+message+location,none,max,0.00143532395665206,0.270652173913043
Lang,4,developer,first,mbfl,barinel,tests,type+message+location,none,max,0.000276688955499193,0.0521739130434783
Lang,4,developer,last,hybrid,barinel,tests,type+message+location,numerator,avg,0.00382753055107217,0.721739130434783
Lang,4,developer,median,hybrid,barinel,tests,type+message+location,numerator,avg,0.00079548074706018,0.15
Lang,4,developer,mean,hybrid,barinel,tests,type+message+location,numerator,avg,0.00138920913073553,0.26195652173913
Lang,4,developer,first,hybrid,barinel,tests,type+message+location,numerator,avg,0.000138344477749596,0.0260869565217391
Lang,4,developer,last,hybrid,barinel,tests,type+message+location,numerator,max,0.00382753055107217,0.721739130434783
Lang,4,developer,median,hybrid,barinel,tests,type+message+location,numerator,max,0.000818538160018446,0.154347826086957
Lang,4,developer,mean,hybrid,barinel,tests,type+message+location,numerator,max,0.00143532395665206,0.270652173913043
Lang,4,developer,first,hybrid,barinel,tests,type+message+location,numerator,max,0.000276688955499193,0.0521739130434783
Lang,4,developer,last,hybrid,muse,elements,type+message+location,mirror,avg,0.00382753055107217,0.721739130434783
Lang,4,developer,median,hybrid,muse,elements,type+message+location,mirror,avg,0.000830066866497579,0.156521739130435
Lang,4,developer,mean,hybrid,muse,elements,type+message+location,mirror,avg,0.0014295596034125,0.269565217391304
Lang,4,developer,first,hybrid,muse,elements,type+message+location,mirror,avg,0.000230574129582661,0.0434782608695652
Lang,4,developer,last,hybrid,muse,elements,type+message+location,mirror,max,0.00382753055107217,0.721739130434783
Lang,4,developer,median,hybrid,muse,elements,type+message+location,mirror,max,0.000737837214664515,0.139130434782609
Lang,4,developer,mean,hybrid,muse,elements,type+message+location,mirror,max,0.00138344477749596,0.260869565217391
