Project,Bug,TestSuite,ScoringScheme,Family,Formula,TotalDefn,KillDefn,HybridScheme,AggregationDefn,Score,ScoreWRTLoadedClasses
Math,6,developer,first,mbfl,muse,elements,passfail,none,avg,0.0743504527989523,0.266909123164944
Math,6,developer,first,mbfl,ochiai,tests,exact,none,max,0.00110574368984816,0.00396948596265579
Math,6,developer,first,sbfl,barinel,tests,,none,,0.00423765458790971,0.0152126668736417
Math,6,developer,first,sbfl,opt2,tests,,none,,0.00243387158547584,0.00873730429768927
Math,6,developer,first,sbfl,tarantula,tests,,none,,0.00423765458790971,0.0152126668736417
Math,6,developer,first,sbfl,jaccard,tests,,none,,0.00345313252863197,0.0123963276710871
Math,6,developer,first,sbfl,ochiai,tests,,none,,0.00345313252863197,0.0123963276710871
Math,6,developer,first,sbfl,dstar2,tests,,none,,0.00211882729395486,0.00760633343682086
Math,6,developer,last,hybrid,barinel,elements,type+message+location,mirror,avg,0.144747408606269,0.519625670820952
Math,6,developer,median,hybrid,barinel,elements,type+message+location,mirror,avg,0.0988559568080454,0.35488091542112
Math,6,developer,mean,hybrid,barinel,elements,type+message+location,mirror,avg,0.0906404592451873,0.325388273906272
Math,6,developer,first,hybrid,barinel,elements,type+message+location,mirror,avg,0.00297747742182577,0.0106887834301681
Math,6,developer,last,hybrid,barinel,elements,type+message+location,mirror,max,0.144747408606269,0.519625670820952
Math,6,developer,median,hybrid,barinel,elements,type+message+location,mirror,max,0.0996281241892242,0.35765290282521
Math,6,developer,mean,hybrid,barinel,elements,type+message+location,mirror,max,0.087174245292686,0.312944985507398
Math,6,developer,first,hybrid,barinel,elements,type+message+location,mirror,max,0.00230414746543779,0.00827161041380228
Math,6,developer,last,hybrid,barinel,elements,type+message+location,constant,avg,0.144747408606269,0.519625670820952
Math,6,developer,median,hybrid,barinel,elements,type+message+location,constant,avg,0.07133591134283,0.25608728433938
Math,6,developer,mean,hybrid,barinel,elements,type+message+location,constant,avg,0.0676062520485146,0.242698259061464
Math,6,developer,first,hybrid,barinel,elements,type+message+location,constant,avg,0.0033604724428905,0.0120636891825964
Math,6,developer,last,hybrid,barinel,elements,type+message+location,constant,max,0.144747408606269,0.519625670820952
Math,6,developer,median,hybrid,barinel,elements,type+message+location,constant,max,0.0716633103124498,0.257262606998714
Math,6,developer,mean,hybrid,barinel,elements,type+message+location,constant,max,0.0624172872469925,0.224070503705984
Math,6,developer,first,hybrid,barinel,elements,type+message+location,constant,max,0.00239063021212982,0.00858207300306027
